age_days,variable,q05,q50,q95
3.0,phase_volume__SO4_OH_AFm,1.078685971720724e-06,0.0,0.0
3.0,phase_volume__Silica-amorph,0.0,0.0,0.0
3.0,phase_volume__Sulphur,0.0,0.0,0.0
3.0,phase_volume__aq_gen,3.984659810780772e-05,3.788284087041229e-05,3.718489798716035e-05
3.0,phase_volume__arcanite,0.0,0.0,0.0
3.0,phase_volume__ettringite,4.886288840587683e-06,6.199803346918016e-06,5.079090024989592e-06
3.0,phase_volume__gas_gen,0.0,0.0,0.0
3.0,phase_volume__hemihydrate,0.0,0.0,0.0
3.0,phase_volume__straetlingite,0.0,3.625942071981335e-06,7.360443433346133e-06
3.0,phase_volume__thenardite,0.0,0.0,0.0
3.0,scalar__Eh,0.3964160353143536,0.4074280770083031,0.4565206492611512
3.0,scalar__IS,0.306745191516085,0.2495911831603434,0.4003825514034694
3.0,scalar__P,100000.0,100000.0,100000.0
3.0,scalar__T,293.15,293.15,293.15
3.0,scalar__aq_volume_frac,0.7241705843205274,0.678088654028515,0.650950393926811
3.0,scalar__converged,True,True,True
3.0,scalar__elapsed_time,0.0073507,0.004696,0.0052257
3.0,scalar__ionic_strength,0.306745191516085,0.2495911831603434,0.4003825514034694
3.0,scalar__nelements,13,13,13
3.0,scalar__nphases,46,46,46
3.0,scalar__nspecies,140,140,140
3.0,scalar__num_iterations,479,226,255
3.0,scalar__pE,6.828843726996056,7.018542188067426,7.864233265637272
3.0,scalar__pH,13.507926424838956,13.32523062874667,12.48124611899445
3.0,scalar__pressure,100000.0,100000.0,100000.0
3.0,scalar__system_enthalpy,0.0,0.0,0.0
3.0,scalar__system_entropy,0.0,0.0,0.0
3.0,scalar__system_gibbs_energy,-380.6848390421623,-403.30476513711807,-423.1522678572734
3.0,scalar__system_heat_capacity_const_p,0.0,0.0,0.0
3.0,scalar__system_mass,0.0722144258316263,0.0760301099575445,0.0794103279776489
3.0,scalar__system_volume,5.502377336300516e-05,5.5867091486269344e-05,5.712401180502427e-05
3.0,scalar__temperature,293.15,293.15,293.15
3.0,scalar__water_activity,0.0,0.0,0.0
7.0,phase_mass__Al(OH)3am,0.0,0.0,0.0
7.0,phase_mass__Anhydrite,0.0,0.0,0.0
7.0,phase_mass__Aragonite,0.0,0.0,0.0
7.0,phase_mass__Brucite,0.0007934735086303,0.0,0.0
7.0,phase_mass__C2AH75,0.0,0.0,0.0
7.0,phase_mass__C2ASH55,0.0,0.0,0.0
7.0,phase_mass__C3(AF)S0.84H,0.0032613255053876,0.0045338784756249,0.0055226930479247
7.0,phase_mass__C3AH6,0.0,0.0,0.0
7.0,phase_mass__C4AH11,0.0,0.0,0.0
