obs_uid,fold,paper_doi,age_d,role,method_group,observed,bayes_mean,bayes_lo,bayes_hi,gbm_point,blend_mean,blend_lo,blend_hi,ess,applied
10.1016/j.conbuildmat.2025.140108::C1CF2::DoR_SCM::dig4f31280da,0,10.1016/j.conbuildmat.2025.140108,28.0,slag,selective_dissolution,28.0,40.704752380472186,12.23878831989886,69.69645739292854,32.03697067449141,33.73823619772337,19.37317220056702,48.50462290233571,469.31112996852715,True
10.1016/j.conbuildmat.2025.140108::C3CF0::DoR_SCM::dig4ab380f53,0,10.1016/j.conbuildmat.2025.140108,3.0,slag,selective_dissolution,13.3,21.60230077430865,4.490963290702048,39.73458200284487,11.425594213282592,18.166303677745866,5.42910329254202,30.509803871733826,462.9516005478333,True
10.1016/j.conbuildmat.2025.140108::C3CF0::DoR_SCM::dig4b6dbd902,0,10.1016/j.conbuildmat.2025.140108,28.0,slag,selective_dissolution,18.6,41.11847774494156,13.3497133766422,67.95588571422138,32.03697067449141,34.084396145139316,19.406039759450284,49.15633344105955,466.86347920250574,True
10.1016/j.conbuildmat.2025.140108::C5CF0::DoR_SCM::dig4fa3399c2,0,10.1016/j.conbuildmat.2025.140108,3.0,slag,selective_dissolution,13.8,21.203420317110123,3.9497486304358844,38.515583981150996,11.487300144131245,17.346730476926854,4.789046266373371,29.456448450956188,458.2110923899825,True
10.1016/j.conbuildmat.2025.140108::C5CF0::DoR_SCM::dig437a0426b,0,10.1016/j.conbuildmat.2025.140108,28.0,slag,selective_dissolution,16.4,40.991238064011995,13.391178393378325,68.50181813658234,32.18680005153004,33.552443200389845,18.25667209139936,47.55210622570307,435.84696931275175,True
10.1016/j.cemconcomp.2012.02.004::S_lt4::DoR_SCM::16,1,10.1016/j.cemconcomp.2012.02.004,3.0,slag,other_unknown,51.8,15.934162866368332,0.0,35.44935198948929,14.39976741443664,13.760516430123015,0.0,29.04437617091009,508.8805118310885,True
10.1016/j.cemconcomp.2012.02.004::S_lt4::DoR_SCM::17,1,10.1016/j.cemconcomp.2012.02.004,28.0,slag,other_unknown,96.5,32.31759235284479,5.350838145439034,62.14520519770541,26.050553113925194,27.52713163640763,10.72669828325876,44.16876123494865,517.2492465151803,True
10.1016/j.cemconcomp.2012.02.004::S_4_8::DoR_SCM::19,1,10.1016/j.cemconcomp.2012.02.004,3.0,slag,other_unknown,25.5,15.640387897817988,0.0,35.10193121752282,14.39976741443664,13.693878307601613,0.0,28.636503112451493,512.7094385077618,True
10.1016/j.cemconcomp.2012.02.004::S_4_8::DoR_SCM::20,1,10.1016/j.cemconcomp.2012.02.004,28.0,slag,other_unknown,92.3,31.882935975030232,4.832233629939841,60.437762967813725,26.050553113925194,27.250915588926986,10.82123458633988,43.45361654868907,517.853615434615,True
10.1016/j.cemconcomp.2012.02.004::S_8_24::DoR_SCM::22,1,10.1016/j.cemconcomp.2012.02.004,3.0,slag,other_unknown,9.1,16.085562211047503,0.0,34.97406645036109,14.39976741443664,13.807092922360978,0.0,29.049197251370416,516.118507340342,True
10.1016/j.cemconcomp.2012.02.004::S_8_24::DoR_SCM::23,1,10.1016/j.cemconcomp.2012.02.004,28.0,slag,other_unknown,47.2,31.324197238832124,4.586158060612102,58.94907081486939,26.050553113925194,27.771271239381548,10.114129890037926,44.38638940237896,531.6574104863796,True
10.1016/j.cemconcomp.2012.02.004::S_24_45::DoR_SCM::25,1,10.1016/j.cemconcomp.2012.02.004,3.0,slag,other_unknown,4.8,16.046684521600923,0.0,34.904671580535634,14.39976741443664,13.68150562849621,0.0,28.040212565083902,505.71641985260766,True
10.1016/j.cemconcomp.2012.02.004::S_24_45::DoR_SCM::26,1,10.1016/j.cemconcomp.2012.02.004,28.0,slag,other_unknown,20.3,32.76559379092027,4.917108409943411,63.037821935944756,26.050553113925194,27.864515770051323,11.196755234789261,44.720104596900605,491.2115479664352,True
10.1016/j.cemconcomp.2012.02.004::S_45_80::DoR_SCM::28,1,10.1016/j.cemconcomp.2012.02.004,3.0,slag,other_unknown,0.8,16.004561518251393,0.0,34.728995185252444,14.39976741443664,14.533653507847951,0.0,28.67215670385951,487.72903080486736,True
10.1016/j.cemconcomp.2012.02.004::S_45_80::DoR_SCM::29,1,10.1016/j.cemconcomp.2012.02.004,28.0,slag,other_unknown,5.8,32.26013030821301,3.431341684284398,63.504493750363544,26.050553113925194,28.54966652895778,10.752846860827953,44.97740595624701,506.0664012405707,True
10.1016/j.cemconcomp.2012.02.004::F_lt4::DoR_SCM::31,1,10.1016/j.cemconcomp.2012.02.004,3.0,fly_ash,other_unknown,13.3,8.089703041589734,0.0,23.58452786686327,10.799836053587569,10.147846363532938,0.0,24.960569870100503,482.4437648456779,True
10.1016/j.cemconcomp.2012.02.004::F_lt4::DoR_SCM::32,1,10.1016/j.cemconcomp.2012.02.004,28.0,fly_ash,other_unknown,24.1,15.508646003896231,0.0,39.565688970267395,18.47932298127024,19.364732064475493,4.308754348675757,35.35144860010268,492.5495119150724,True
10.1016/j.cemconcomp.2012.02.004::F_4_8::DoR_SCM::34,1,10.1016/j.cemconcomp.2012.02.004,3.0,fly_ash,other_unknown,5.4,7.89325023456644,0.0,23.28027874805366,10.799836053587569,9.725421537068396,0.0,23.17121270133344,497.23207047212384,True
10.1016/j.cemconcomp.2012.02.004::F_4_8::DoR_SCM::35,1,10.1016/j.cemconcomp.2012.02.004,28.0,fly_ash,other_unknown,17.6,14.439586802840036,0.0,37.39605244312574,18.47932298127024,19.520426210987303,2.973949531063181,36.42883880638856,487.7054697119521,True
10.1016/j.cemconcomp.2012.02.004::F_8_24::DoR_SCM::37,1,10.1016/j.cemconcomp.2012.02.004,3.0,fly_ash,other_unknown,1.0,8.131702126738206,0.0,24.627040189796794,10.799836053587569,9.864506246011194,0.0,23.97875093328596,466.1264640646239,True
10.1016/j.cemconcomp.2012.02.004::F_8_24::DoR_SCM::38,1,10.1016/j.cemconcomp.2012.02.004,28.0,fly_ash,other_unknown,5.3,14.6046523644291,0.0,39.18730598116564,18.47932298127024,19.15067393641591,2.7429650707935576,35.76225768928107,484.3224635899249,True
10.1016/j.cemconcomp.2012.02.004::F_24_45::DoR_SCM::40,1,10.1016/j.cemconcomp.2012.02.004,3.0,fly_ash,other_unknown,0.5,8.070913305926737,0.0,23.57591876673312,10.799836053587569,10.15931028787429,0.0,23.37551457900265,490.7954184171429,True
10.1016/j.cemconcomp.2012.02.004::F_24_45::DoR_SCM::41,1,10.1016/j.cemconcomp.2012.02.004,28.0,fly_ash,other_unknown,3.2,14.568574208909956,0.0,37.84230494561586,18.47932298127024,19.13190712134931,2.082291493699739,35.77207020301679,485.34811461616476,True
10.1016/j.cemconcomp.2012.02.004::F_45_80::DoR_SCM::43,1,10.1016/j.cemconcomp.2012.02.004,3.0,fly_ash,other_unknown,0.2,8.175007813832648,0.0,23.80634976930712,10.799836053587569,10.258608094994397,0.0,23.676140126110855,503.77549487260814,True
10.1016/j.cemconcomp.2012.02.004::F_45_80::DoR_SCM::44,1,10.1016/j.cemconcomp.2012.02.004,28.0,fly_ash,other_unknown,2.1,15.336932631795932,0.0,39.79327281360059,18.47932298127024,19.47727500648558,2.2843201855007624,35.91763697998856,508.62388468037864,True
10.1016/j.cemconcomp.2012.02.004::O_lt4::DoR_SCM::46,1,10.1016/j.cemconcomp.2012.02.004,3.0,other,other_unknown,48.6,12.718974120944281,0.0,34.13557524921932,13.76289351223173,18.47544450728203,2.8533438093054797,34.45551488896565,302.06574766545634,True
10.1016/j.cemconcomp.2012.02.004::O_lt4::DoR_SCM::47,1,10.1016/j.cemconcomp.2012.02.004,28.0,other,other_unknown,95.2,18.353159851944373,0.0,48.135805912047395,26.658900304365307,28.250798966400676,11.698914880690582,46.19945472815154,285.78682625617074,True
10.1016/j.cemconcomp.2012.02.004::O_4_8::DoR_SCM::49,1,10.1016/j.cemconcomp.2012.02.004,3.0,other,other_unknown,24.6,12.77535078596328,0.0,33.28947959530584,13.76289351223173,18.53095576027752,3.174280992934934,33.78431857707105,335.0016036085259,True
10.1016/j.cemconcomp.2012.02.004::O_4_8::DoR_SCM::50,1,10.1016/j.cemconcomp.2012.02.004,28.0,other,other_unknown,54.6,18.003185060114475,0.0,47.0179144517132,26.658900304365307,28.294738125810788,11.418975321794692,45.289727534261594,314.57999835241264,True
10.1016/j.cemconcomp.2012.02.004::O_8_24::DoR_SCM::52,1,10.1016/j.cemconcomp.2012.02.004,3.0,other,other_unknown,3.7,12.920766682339861,0.0,34.463820062222354,13.76289351223173,18.822355374503896,3.5160735852953113,34.47637122833035,308.1175611051759,True
10.1016/j.cemconcomp.2012.02.004::O_8_24::DoR_SCM::53,1,10.1016/j.cemconcomp.2012.02.004,28.0,other,other_unknown,17.7,18.268686001468343,0.0,48.20529919061844,26.658900304365307,27.66827139557538,10.314955504265145,45.71336874151227,307.0847715327641,True
10.1016/j.cemconcomp.2012.02.004::O_24_45::DoR_SCM::55,1,10.1016/j.cemconcomp.2012.02.004,3.0,other,other_unknown,1.3,12.991032242296878,0.0,33.421533448125444,13.76289351223173,18.474386316771767,2.4042631930736404,34.23863069832079,307.3237968101178,True
10.1016/j.cemconcomp.2012.02.004::O_24_45::DoR_SCM::56,1,10.1016/j.cemconcomp.2012.02.004,28.0,other,other_unknown,11.3,18.69761923536338,0.0,49.35923016289166,26.658900304365307,28.784664553004585,11.693068512376424,44.66378400337394,323.1910478214717,True
10.1016/j.cemconcomp.2012.02.004::O_45_80::DoR_SCM::58,1,10.1016/j.cemconcomp.2012.02.004,3.0,other,other_unknown,0.4,12.315069112808835,0.0,33.42114658469545,13.76289351223173,18.068078040379454,2.317872616428008,34.24180987829696,309.77838755076954,True
10.1016/j.cemconcomp.2012.02.004::O_45_80::DoR_SCM::59,1,10.1016/j.cemconcomp.2012.02.004,28.0,other,other_unknown,6.4,18.200275987203863,0.0,48.896181044171605,26.658900304365307,28.196579842258494,11.676749028350846,45.02226692086101,303.9006466664446,True
10.1016/j.conbuildmat.2018.11.055::30S1_20::DoR_SCM::0,1,10.1016/j.conbuildmat.2018.11.055,28.0,slag,SEM_BSE,63.22,36.66733344637166,12.841312786722986,59.68257893401873,43.14443809009275,39.099584875251495,18.92566420368116,58.56875726679065,850.3433076440319,True
10.1016/j.conbuildmat.2018.11.055::30S1_38::DoR_SCM::2,1,10.1016/j.conbuildmat.2018.11.055,28.0,slag,SEM_BSE,67.57,49.637277807521045,21.466630291940497,73.61901587120174,47.414371450563586,48.41414264172891,28.214684776215357,68.13779758122647,592.2733180984503,True
10.1016/j.conbuildmat.2018.11.055::30S2_20::DoR_SCM::4,1,10.1016/j.conbuildmat.2018.11.055,28.0,slag,SEM_BSE,52.09,37.41018736998263,13.234583521769023,58.96166730417501,48.48982044161789,42.28283565220896,22.777308141098057,61.26678136718859,765.4304205974342,True
10.1016/j.conbuildmat.2018.11.055::30S2_38::DoR_SCM::6,1,10.1016/j.conbuildmat.2018.11.055,28.0,slag,SEM_BSE,53.47,50.11877808490224,20.791153137500658,75.03646153378227,51.44034852166876,52.0454001196268,32.506176498066765,71.59072457892096,677.0384438497698,True
10.1016/j.conbuildmat.2018.11.055::70S1_20::DoR_SCM::8,1,10.1016/j.conbuildmat.2018.11.055,28.0,slag,SEM_BSE,62.11,37.974645884280626,8.877622776279543,63.21444429577053,23.26361139523557,26.112204797480434,6.013174401929843,46.10980539879774,360.2769806858353,True
10.1016/j.conbuildmat.2018.11.055::70S1_38::DoR_SCM::10,1,10.1016/j.conbuildmat.2018.11.055,28.0,slag,SEM_BSE,63.32,46.36648503307539,13.568790170372875,78.05265345820771,28.05524299288013,31.900541274130997,11.565658339017634,51.89605463117547,334.3883843188081,True
10.1016/j.conbuildmat.2018.11.055::70S2_20::DoR_SCM::12,1,10.1016/j.conbuildmat.2018.11.055,28.0,slag,SEM_BSE,49.35,37.28170403284927,11.058188896585504,62.81099019339482,28.173946153031423,30.205590908235287,11.113412112089371,49.50502439982214,471.2744093947603,True
10.1016/j.conbuildmat.2018.11.055::70S2_38::DoR_SCM::14,1,10.1016/j.conbuildmat.2018.11.055,28.0,slag,SEM_BSE,51.67,47.139090927744434,13.629712601837513,77.57753397711686,31.76799797798313,36.22765546786417,16.03092215369142,55.86005046705652,393.7076434868787,True
10.1016/j.conbuildmat.2023.131082::CW-1::DoR_SCM::30,1,10.1016/j.conbuildmat.2023.131082,1.0,fly_ash,selective_dissolution,2.9,6.528611442594087,0.0,17.307249387876396,10.889538505922138,8.292303503618111,0.0,18.826365034138174,514.2128485983046,True
10.1016/j.conbuildmat.2023.131082::CW-1::DoR_SCM::31,1,10.1016/j.conbuildmat.2023.131082,3.0,fly_ash,selective_dissolution,6.6,9.934472306644672,0.0,22.689020002370466,14.37211791341125,13.13732505187312,1.473888781379326,24.789284047211257,487.6988759251371,True
10.1016/j.conbuildmat.2023.131082::CW-1::DoR_SCM::32,1,10.1016/j.conbuildmat.2023.131082,7.0,fly_ash,selective_dissolution,9.8,14.126598868953115,0.0,28.615254457827596,20.852999981955552,18.855911162952008,6.8859477658061765,31.048899100487954,481.71898524962353,True
10.1016/j.conbuildmat.2023.131082::CW-1::DoR_SCM::33,1,10.1016/j.conbuildmat.2023.131082,28.0,fly_ash,selective_dissolution,15.5,23.852037963352966,3.7943247463982854,43.97729711343772,32.49709042302562,31.589598147096087,18.347863666552485,45.509477222779864,513.0189730184826,True
10.1016/j.conbuildmat.2023.131082::CW-1::DoR_SCM::34,1,10.1016/j.conbuildmat.2023.131082,56.0,fly_ash,selective_dissolution,19.9,29.37628415963889,5.741049108269907,53.36151872367267,37.73932279703295,40.27343145979077,25.392384502875654,55.23388982870162,493.52605956766683,True
10.1016/j.conbuildmat.2023.131082::CW-2::DoR_SCM::35,1,10.1016/j.conbuildmat.2023.131082,1.0,fly_ash,selective_dissolution,2.7,6.911958653242333,0.0,18.132904207916983,10.470782429859206,8.778672255105848,0.0,19.42872670199906,470.10877294184985,True
10.1016/j.conbuildmat.2023.131082::CW-2::DoR_SCM::36,1,10.1016/j.conbuildmat.2023.131082,3.0,fly_ash,selective_dissolution,6.7,10.159867488496001,0.0,22.63290448933123,13.953361837348318,13.376041344780983,1.2652141217534283,24.666267123403497,452.07846003526674,True
10.1016/j.conbuildmat.2023.131082::CW-2::DoR_SCM::37,1,10.1016/j.conbuildmat.2023.131082,7.0,fly_ash,selective_dissolution,9.7,14.120805366448922,0.0,29.739311543348485,20.434243905892615,18.877016093954705,7.44897332122636,31.016569508388223,446.11046878872025,True
10.1016/j.conbuildmat.2023.131082::CW-2::DoR_SCM::38,1,10.1016/j.conbuildmat.2023.131082,28.0,fly_ash,selective_dissolution,14.9,22.59299630586164,1.4961596553995689,43.80959533965098,32.078334346962684,32.070146942855146,18.838277945716317,45.44292528202655,439.10739535029893,True
10.1016/j.conbuildmat.2023.131082::CW-2::DoR_SCM::39,1,10.1016/j.conbuildmat.2023.131082,56.0,fly_ash,selective_dissolution,19.1,28.23434878840641,4.712813267752292,54.184408255881884,37.32056672097001,39.31375138535848,25.0192127489523,53.806604380056,445.6117204607175,True
10.1016/j.conbuildmat.2023.131082::CW-3::DoR_SCM::40,1,10.1016/j.conbuildmat.2023.131082,1.0,fly_ash,selective_dissolution,2.1,6.65424503606523,0.0,18.1633273418332,10.086757272434596,8.228288720725763,0.0,18.73632479766193,408.4929776419246,True
10.1016/j.conbuildmat.2023.131082::CW-3::DoR_SCM::41,1,10.1016/j.conbuildmat.2023.131082,3.0,fly_ash,selective_dissolution,4.8,9.732436487260207,0.0,23.062059400304314,13.525770396492586,13.34908339096393,1.6160424322413531,24.811905753795884,416.74194711145344,True
10.1016/j.conbuildmat.2023.131082::CW-3::DoR_SCM::42,1,10.1016/j.conbuildmat.2023.131082,7.0,fly_ash,selective_dissolution,8.6,13.589306573157534,0.0,29.800685098048447,19.86994071890412,18.712934392890244,7.075503581591276,30.975350329900085,407.92412771323075,True
10.1016/j.conbuildmat.2023.131082::CW-3::DoR_SCM::43,1,10.1016/j.conbuildmat.2023.131082,28.0,fly_ash,selective_dissolution,13.4,21.748576375401463,2.00708706776097,44.54994959326124,30.938445602371146,31.002696371430314,17.141051764483635,44.38214318253047,422.93130767065963,True
10.1016/j.conbuildmat.2023.131082::CW-3::DoR_SCM::44,1,10.1016/j.conbuildmat.2023.131082,56.0,fly_ash,selective_dissolution,18.4,27.109887130244896,4.521060847548626,52.52413387043821,36.14395922512083,36.766493091463346,23.045651294986172,51.46685885696687,435.99816472014345,True
10.1016/j.conbuildmat.2023.131082::CW-4::DoR_SCM::45,1,10.1016/j.conbuildmat.2023.131082,1.0,fly_ash,selective_dissolution,1.7,6.567448974431674,0.0,18.52655492429694,9.050555888333166,8.442629087929385,0.0,19.37940703890099,413.2044950772984,True
10.1016/j.conbuildmat.2023.131082::CW-4::DoR_SCM::46,1,10.1016/j.conbuildmat.2023.131082,3.0,fly_ash,selective_dissolution,4.4,9.573303459801188,0.0,22.959702524427122,12.48956901239116,12.971737665067737,2.415701403315721,24.740672818052417,416.5997027241251,True
10.1016/j.conbuildmat.2023.131082::CW-4::DoR_SCM::47,1,10.1016/j.conbuildmat.2023.131082,7.0,fly_ash,selective_dissolution,7.8,12.992698270393253,0.0,29.74587378663039,18.83373933480269,18.639099263131307,6.420290273532531,30.590599466791154,399.0590092720866,True
10.1016/j.conbuildmat.2023.131082::CW-4::DoR_SCM::48,1,10.1016/j.conbuildmat.2023.131082,28.0,fly_ash,selective_dissolution,12.9,21.084044408407852,1.5374988679742436,45.2394534215254,29.48557047690833,30.590051156425574,16.735274402562062,44.70417619498741,379.9909539007658,True
10.1016/j.conbuildmat.2023.131082::CW-4::DoR_SCM::49,1,10.1016/j.conbuildmat.2023.131082,56.0,fly_ash,selective_dissolution,16.7,25.4751427571964,3.0673109296964296,52.29656196049082,34.69108409965799,36.302835780547184,21.94499180890159,51.339835717958536,406.8701739616441,True
10.1016/j.conbuildmat.2023.131082::CW-5::DoR_SCM::50,1,10.1016/j.conbuildmat.2023.131082,1.0,fly_ash,selective_dissolution,1.3,6.432697442240404,0.0,18.345174698217406,6.864256447732184,7.701608019252895,0.0,18.520496949880986,443.98279671126426,True
10.1016/j.conbuildmat.2023.131082::CW-5::DoR_SCM::51,1,10.1016/j.conbuildmat.2023.131082,3.0,fly_ash,selective_dissolution,3.5,9.432632135174781,0.0,23.21402996333606,10.24501327385271,12.057340634085962,0.784094000138013,23.21087168180398,454.3304877728063,True
10.1016/j.conbuildmat.2023.131082::CW-5::DoR_SCM::52,1,10.1016/j.conbuildmat.2023.131082,7.0,fly_ash,selective_dissolution,5.9,12.461322558040855,0.0,29.53010512132362,16.589183596264235,16.642787637695182,4.694584898526448,28.933448700954962,436.79291959726385,True
10.1016/j.conbuildmat.2023.131082::CW-5::DoR_SCM::53,1,10.1016/j.conbuildmat.2023.131082,28.0,fly_ash,selective_dissolution,10.2,20.1659165206196,0.48243387066158394,44.54035556577302,26.690610939045126,26.475090918358763,13.568908519138352,39.577021625855686,433.9810164023165,True
